MIN,MAX,MEAN,STDEV,NUMBER_ESC_RUNNING
0.801156196,2.6265906140000004,0.8377843968333334,0.7937838657802327,1
1.0973738800000001,2.844717482,1.4297638645555555,0.7905966074880395,2
1.065328596,2.996724717,1.695067881791667,0.734342472889439,3
0.774124915,3.219942204,1.7886107620499998,0.8044894817183578,4
0.9242733590000001,3.3444281510000002,1.9856924146666668,0.7424780805919244,5
1.051673448,3.487483908,2.042572371142857,0.7138789698218291,6
2.1587333220000002,4.619195479,2.8993410918125004,0.8784415973087926,7
2.197200246,13.518030516000001,5.469608642124199,2.5072748028596354,8
100,0,0,0,7
100,0,0,0,6
100,0,0,0,5
100,0,0,0,4
100,0,0,0,3
100,0,0,0,2
100,0,0,0,1
